#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
.....GO:0001992	BP	e	regulation of systemic arterial blood pressure by vasopressin	1/441	2/38747	0.0226	7	1	1	1	1	0.599	      t32280aep
......GO:1905323	BP	e	telomerase holoenzyme complex assembly	1/441	2/38747	0.0226	7	1	1	1	1	0.599	      t20542aep
......GO:0010353	BP	e	response to trehalose         	1/441	2/38747	0.0226	6	1	1	1	1	0.599	      t35837aep
..........GO:1990390	BP	e	protein K33-linked ubiquitination	1/441	2/38747	0.0226	11	1	1	1	1	0.599	      t14055aep
.....GO:1990141	BP	e	chromatin silencing at centromere outer repeat region	1/441	2/38747	0.0226	13	1	1	1	1	0.599	       t8582aep
......GO:0033861	BP	e	negative regulation of NAD(P)H oxidase activity	1/441	2/38747	0.0226	6	1	1	1	1	0.599	      t32280aep
.......GO:0061309	BP	e	cardiac neural crest cell development involved in outflow tract morphogenesis	1/441	2/38747	0.0226	7	1	1	1	1	0.599	       t8582aep
......GO:0045366	BP	e	regulation of interleukin-13 biosynthetic process	1/441	2/38747	0.0226	7	1	1	1	1	0.599	       t8645aep
...GO:0033326	BP	e	cerebrospinal fluid secretion 	1/441	2/38747	0.0226	6	1	1	1	1	0.599	      t33020aep
........GO:1990872	BP	e	negative regulation of sterol import by negative regulation of transcription from RNA polymerase II promoter	1/441	2/38747	0.0226	13	1	1	1	1	0.599	      t18960aep
......GO:1903395	BP	e	regulation of secondary cell septum biogenesis	1/441	2/38747	0.0226	10	1	1	1	1	0.599	       t7326aep
.....GO:0014835	BP	e	myoblast differentiation involved in skeletal muscle regeneration	1/441	2/38747	0.0226	5	1	1	1	1	0.599	       t8582aep
.....GO:0060337	BP	e	type I interferon signaling pathway	1/441	2/38747	0.0226	7	1	1	1	1	0.599	       t8645aep
........GO:1902949	BP	e	positive regulation of tau-protein kinase activity	1/441	2/38747	0.0226	11	1	1	1	1	0.599	      t20542aep
.......GO:0035968	BP	e	regulation of sterol import by regulation of transcription from RNA polymerase II promoter	1/441	2/38747	0.0226	12	1	1	1	1	0.599	      t18960aep
...GO:0032606	BP	e	type I interferon production  	1/441	2/38747	0.0226	3	1	1	1	1	0.599	      t22133aep
....GO:0007374	BP	e	posterior midgut invagination 	1/441	2/38747	0.0226	6	1	1	1	1	0.599	       t7326aep
.......GO:2000630	BP	e	positive regulation of miRNA metabolic process	1/441	2/38747	0.0226	8	1	1	1	1	0.599	       t8582aep
........GO:0098719	BP	e	sodium ion import across plasma membrane	1/441	2/38747	0.0226	9	1	1	1	1	0.599	       t2479aep
......GO:0080151	BP	e	positive regulation of salicylic acid mediated signaling pathway	1/441	2/38747	0.0226	7	1	1	1	1	0.599	      t35837aep
.....GO:0035298	BP	e	regulation of Malpighian tubule size	1/441	2/38747	0.0226	5	1	1	1	1	0.599	       t7326aep
....GO:0010070	BP	e	zygote asymmetric cell division	1/441	2/38747	0.0226	4	1	1	1	1	0.599	       t8582aep
......GO:0072367	BP	e	regulation of lipid transport by regulation of transcription from RNA polymerase II promoter	1/441	2/38747	0.0226	11	1	1	1	1	0.599	      t18960aep
.......GO:0072368	BP	e	regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter	1/441	2/38747	0.0226	12	1	1	1	1	0.599	      t18960aep
.......GO:0045086	BP	e	positive regulation of interleukin-2 biosynthetic process	1/441	2/38747	0.0226	8	1	1	1	1	0.599	       t8645aep
.....GO:0061359	BP	e	regulation of Wnt signaling pathway by Wnt protein secretion	1/441	2/38747	0.0226	10	1	1	1	1	0.599	      t29103aep
.....GO:1905803	BP	e	negative regulation of cellular response to manganese ion	1/441	2/38747	0.0226	5	1	1	1	1	0.599	      t19259aep
....GO:1905843	BP	e	regulation of cellular response to gamma radiation	1/441	2/38747	0.0226	5	1	1	1	1	0.599	      t19259aep
........GO:0045583	BP	e	regulation of cytotoxic T cell differentiation	1/441	2/38747	0.0226	9	1	1	1	1	0.599	      t20542aep
......GO:0032948	BP	e	regulation of alpha-glucan metabolic process	1/441	2/38747	0.0226	7	1	1	1	1	0.599	       t7326aep
.......GO:0032949	BP	e	regulation of alpha-glucan biosynthetic process	1/441	2/38747	0.0226	9	1	1	1	1	0.599	       t7326aep
.....GO:0010468	BP	e	regulation of gene expression 	61/441	4040/38747	0.0228	5	61	1	1	1	0.601	t10593aep, t11695aep, t13899aep, t14055aep, t14593aep, t14735aep, t16424aep, t16778aep, t16922aep, t17178aep, t17893aep, t18342aep, t18960aep, t19259aep, t19405aep, t20542aep, t21013aep, t21682aep, t22133aep, t23663aep, t24687aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t26740aep, t26772aep, t27641aep, t28405aep, t28521aep, t28608aep, t29490aep, t29584aep, t2978aep, t30054aep, t31997aep, t32561aep, t32984aep, t33020aep, t34424aep, t34538aep, t35488aep, t35573aep, t36337aep, t37004aep, t38672aep, t38673aep, t4831aep, t4924aep, t5862aep, t5914aep, t6933aep, t7281aep, t7577aep, t7712aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep
.....GO:0051046	BP	e	regulation of secretion       	11/441	463/38747	0.0228	5	11	1	1	1	0.603	t17178aep, t17803aep, t24938aep, t29103aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t6387aep, t9936aep
....GO:0050865	BP	e	regulation of cell activation 	6/441	192/38747	0.0231	4	6	1	1	1	0.609	t20542aep, t21682aep, t31838aep, t32984aep, t8582aep, t8645aep
..GO:0007267	BP	e	cell-cell signaling           	8/441	302/38747	0.0232	3	8	1	1	1	0.609	t13511aep, t16424aep, t17803aep, t24938aep, t31838aep, t32280aep, t33020aep, t9936aep
.GO:0008283	BP	e	cell proliferation            	11/441	465/38747	0.0232	1	11	1	1	1	0.61	t12198aep, t12680aep, t203aep, t22133aep, t24687aep, t34424aep, t35488aep, t3924aep, t7326aep, t8582aep, t8645aep
.....GO:1903844	BP	e	regulation of cellular response to transforming growth factor beta stimulus	4/441	95/38747	0.0234	5	4	1	1	1	0.611	t18338aep, t21682aep, t25020aep, t31144aep
.....GO:0022604	BP	e	regulation of cell morphogenesis	9/441	361/38747	0.0235	5	9	1	1	1	0.611	t10028aep, t13546aep, t13547aep, t17803aep, t24938aep, t30358aep, t32984aep, t7326aep, t9936aep
.....GO:0032677	BP	e	regulation of interleukin-8 production	2/441	21/38747	0.0235	5	2	1	1	1	0.611	t24687aep, t34424aep
......GO:0030042	BP	e	actin filament depolymerization	2/441	21/38747	0.0235	7	2	1	1	1	0.611	t19259aep, t37004aep
......GO:0071071	BP	e	regulation of phospholipid biosynthetic process	2/441	21/38747	0.0235	8	2	1	1	1	0.611	t13546aep, t13547aep
......GO:0035584	BP	e	calcium-mediated signaling using intracellular calcium source	2/441	21/38747	0.0235	8	2	1	1	1	0.611	t18683aep, t34609aep
...GO:0048149	BP	e	behavioral response to ethanol	2/441	21/38747	0.0235	3	2	1	1	1	0.611	t13546aep, t13547aep
...GO:0008356	BP	e	asymmetric cell division      	3/441	54/38747	0.0237	3	3	1	1	1	0.613	t11695aep, t22133aep, t8582aep
....GO:2000243	BP	e	positive regulation of reproductive process	5/441	143/38747	0.0242	4	5	1	1	1	0.626	t18960aep, t19259aep, t32280aep, t35146aep, t35488aep
.....GO:0010565	BP	e	regulation of cellular ketone metabolic process	4/441	96/38747	0.0242	5	4	1	1	1	0.626	t17803aep, t24938aep, t35837aep, t9936aep
...GO:0016477	BP	e	cell migration                	14/441	661/38747	0.0246	4	14	1	1	1	0.635	t10028aep, t14055aep, t16424aep, t17956aep, t18960aep, t20542aep, t21682aep, t2368aep, t24687aep, t32984aep, t33020aep, t34424aep, t7326aep, t8946aep
.....GO:0032479	BP	e	regulation of type I interferon production	3/441	55/38747	0.0248	5	3	1	1	1	0.637	t16424aep, t22133aep, t24181aep
.....GO:0032092	BP	e	positive regulation of protein binding	3/441	55/38747	0.0248	5	3	1	1	1	0.637	t12198aep, t17178aep, t32984aep
...GO:0044182	BP	e	filamentous growth of a population of unicellular organisms	3/441	55/38747	0.0248	3	3	1	1	1	0.637	t13546aep, t13547aep, t18960aep
.....GO:1902105	BP	e	regulation of leukocyte differentiation	4/441	97/38747	0.0251	6	4	1	1	1	0.641	t20542aep, t5403aep, t8582aep, t8645aep
......GO:0050863	BP	e	regulation of T cell activation	4/441	97/38747	0.0251	7	4	1	1	1	0.641	t20542aep, t32984aep, t8582aep, t8645aep
......GO:0051247	BP	e	positive regulation of protein metabolic process	20/441	1050/38747	0.0255	6	20	1	1	1	0.65	t11695aep, t12198aep, t17178aep, t18960aep, t19259aep, t20542aep, t21682aep, t22133aep, t24687aep, t2654aep, t29320aep, t2978aep, t32280aep, t32984aep, t34424aep, t3924aep, t5403aep, t7326aep, t8645aep, t8946aep
...GO:0048729	BP	e	tissue morphogenesis          	11/441	475/38747	0.0255	3	11	1	1	1	0.65	t10028aep, t12680aep, t13546aep, t13547aep, t16424aep, t17803aep, t203aep, t34609aep, t7326aep, t8582aep, t8946aep
.......GO:0014041	BP	e	regulation of neuron maturation	2/441	22/38747	0.0257	8	2	1	1	1	0.654	t32984aep, t37004aep
.....GO:0050885	BP	e	neuromuscular process controlling balance	3/441	56/38747	0.026	5	3	1	1	1	0.66	t24938aep, t37405aep, t9936aep
......GO:1903039	BP	e	positive regulation of leukocyte cell-cell adhesion	3/441	56/38747	0.026	6	3	1	1	1	0.66	t20542aep, t24687aep, t34424aep
....GO:0051341	BP	e	regulation of oxidoreductase activity	3/441	56/38747	0.026	4	3	1	1	1	0.66	t20542aep, t32280aep, t32984aep
....GO:0044089	BP	e	positive regulation of cellular component biogenesis	11/441	481/38747	0.027	4	11	1	1	1	0.681	t13546aep, t13547aep, t18683aep, t19681aep, t20542aep, t2368aep, t24938aep, t30358aep, t34385aep, t34609aep, t7326aep
..GO:0007163	BP	e	establishment or maintenance of cell polarity	7/441	254/38747	0.0271	2	7	1	1	1	0.681	t13546aep, t13547aep, t18960aep, t20542aep, t30358aep, t7288aep, t7326aep
......GO:0002791	BP	e	regulation of peptide secretion	7/441	254/38747	0.0271	6	7	1	1	1	0.681	t17178aep, t29103aep, t2978aep, t32280aep, t32984aep, t6387aep, t9936aep
....GO:0002009	BP	e	morphogenesis of an epithelium	10/441	400/38747	0.0272	4	10	1	1	1	0.683	t10028aep, t12680aep, t13546aep, t13547aep, t16424aep, t17803aep, t34609aep, t7326aep, t8582aep, t8946aep
......GO:0055081	BP	e	anion homeostasis             	3/441	57/38747	0.0272	6	3	1	1	1	0.683	t17803aep, t24938aep, t9936aep
......GO:2000379	BP	e	positive regulation of reactive oxygen species metabolic process	3/441	57/38747	0.0272	6	3	1	1	1	0.683	t20542aep, t21682aep, t34385aep
...GO:0009887	BP	e	animal organ morphogenesis    	10/441	404/38747	0.0278	3	10	1	1	1	0.695	t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t17803aep, t21013aep, t22133aep, t29103aep, t7326aep
.......GO:0010975	BP	e	regulation of neuron projection development	7/441	256/38747	0.0281	8	7	1	1	1	0.7	t13546aep, t13547aep, t24687aep, t32984aep, t34424aep, t7326aep, t9936aep
.....GO:0017157	BP	e	regulation of exocytosis      	5/441	149/38747	0.0282	7	5	1	1	1	0.702	t17803aep, t24938aep, t30358aep, t32984aep, t9936aep
.....GO:0002700	BP	e	regulation of production of molecular mediator of immune response	3/441	58/38747	0.0285	5	3	1	1	1	0.706	t24687aep, t34424aep, t6387aep
....GO:0098657	BP	e	import into cell              	16/441	807/38747	0.0287	4	16	1	1	1	0.71	t12198aep, t13546aep, t13547aep, t18501aep, t20542aep, t24687aep, t2479aep, t29685aep, t32609aep, t32984aep, t33020aep, t34385aep, t34424aep, t35271aep, t7326aep, t7388aep
.....GO:1903034	BP	e	regulation of response to wounding	5/441	150/38747	0.029	5	5	1	1	1	0.715	t21682aep, t24687aep, t34424aep, t7326aep, t7388aep
......GO:0006289	BP	e	nucleotide-excision repair    	5/441	150/38747	0.029	8	5	1	1	1	0.715	t24791aep, t24949aep, t30054aep, t31997aep, t5862aep
...GO:0009617	BP	e	response to bacterium         	7/441	258/38747	0.0291	5	7	1	1	1	0.717	t11117aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35837aep
....GO:1904950	BP	e	negative regulation of establishment of protein localization	4/441	102/38747	0.0294	6	4	1	1	1	0.721	t2978aep, t32280aep, t32984aep, t6387aep
....GO:0060968	BP	e	regulation of gene silencing  	4/441	102/38747	0.0294	6	4	1	1	1	0.721	t35488aep, t35573aep, t38672aep, t38673aep
.....GO:0051048	BP	e	negative regulation of secretion	4/441	102/38747	0.0294	6	4	1	1	1	0.721	t2978aep, t32280aep, t32984aep, t6387aep
...GO:0048598	BP	e	embryonic morphogenesis       	11/441	490/38747	0.0295	3	11	1	1	1	0.721	t13546aep, t13547aep, t16424aep, t17803aep, t21013aep, t29103aep, t29490aep, t3924aep, t7326aep, t8582aep, t8946aep
......GO:0045859	BP	e	regulation of protein kinase activity	13/441	603/38747	0.0296	9	13	1	1	1	0.724	t17178aep, t18960aep, t20542aep, t20662aep, t21682aep, t22133aep, t29320aep, t2978aep, t32280aep, t32984aep, t3924aep, t7326aep, t8946aep
....GO:0051336	BP	e	regulation of hydrolase activity	23/441	1267/38747	0.0297	4	23	1	1	1	0.726	t12198aep, t16778aep, t17722aep, t17750aep, t19259aep, t20542aep, t21682aep, t22133aep, t2654aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34609aep, t35146aep, t36169aep, t36337aep, t37043aep, t38653aep, t5403aep, t7281aep, t8946aep
........GO:0033135	BP	e	regulation of peptidyl-serine phosphorylation	3/441	59/38747	0.0298	9	3	1	1	1	0.726	t20542aep, t22133aep, t2978aep
..GO:0007626	BP	e	locomotory behavior           	7/441	260/38747	0.0302	2	7	1	1	1	0.731	t17803aep, t18338aep, t23648aep, t24938aep, t25020aep, t32984aep, t9936aep
....GO:0006777	BP	e	Mo-molybdopterin cofactor biosynthetic process	2/441	24/38747	0.0302	7	2	1	1	1	0.731	t16922aep, t20009aep
......GO:2000008	BP	e	regulation of protein localization to cell surface	2/441	24/38747	0.0302	6	2	1	1	1	0.731	t13546aep, t13547aep
....GO:1905953	BP	e	negative regulation of lipid localization	2/441	24/38747	0.0302	5	2	1	1	1	0.731	t18960aep, t21682aep
....GO:0016192	BP	e	vesicle-mediated transport    	31/441	1819/38747	0.0303	4	31	1	1	1	0.732	t11695aep, t12198aep, t13511aep, t13546aep, t13547aep, t14055aep, t17263aep, t17803aep, t18501aep, t18683aep, t19681aep, t20542aep, t21682aep, t22133aep, t24687aep, t24938aep, t29685aep, t29764aep, t31838aep, t32609aep, t32984aep, t33020aep, t34385aep, t34424aep, t35271aep, t37405aep, t38653aep, t7288aep, t7326aep, t7388aep, t9936aep
...GO:0000910	BP	e	cytokinesis                   	5/441	152/38747	0.0304	3	5	1	1	1	0.732	t11695aep, t13546aep, t13547aep, t32984aep, t7326aep
....GO:0071310	BP	e	cellular response to organic substance	19/441	979/38747	0.0304	4	19	1	1	1	0.732	t14055aep, t18501aep, t18960aep, t19405aep, t21682aep, t22133aep, t24687aep, t26772aep, t29490aep, t2978aep, t31838aep, t32280aep, t32984aep, t34424aep, t35573aep, t35837aep, t5403aep, t8582aep, t9936aep
.....GO:0051130	BP	e	positive regulation of cellular component organization	19/441	985/38747	0.0309	5	19	1	1	1	0.74	t10028aep, t12198aep, t13511aep, t13546aep, t13547aep, t18683aep, t19259aep, t19587aep, t19681aep, t20542aep, t2368aep, t24687aep, t24938aep, t30358aep, t32984aep, t34385aep, t34424aep, t34609aep, t7288aep
.....GO:1901214	BP	e	regulation of neuron death    	6/441	206/38747	0.0312	5	6	1	1	1	0.74	t17803aep, t19259aep, t22133aep, t24938aep, t32984aep, t9936aep
..GO:0007165	BP	e	signal transduction           	63/441	4269/38747	0.0319	4	63	1	1	1	0.74	t10028aep, t10593aep, t11695aep, t12680aep, t13511aep, t14347aep, t14664aep, t14933aep, t15844aep, t17178aep, t17750aep, t17803aep, t18501aep, t18683aep, t18960aep, t203aep, t20542aep, t21682aep, t22133aep, t2368aep, t24246aep, t24687aep, t2479aep, t24938aep, t25651aep, t26415aep, t2654aep, t27001aep, t29103aep, t29320aep, t29490aep, t2978aep, t30176aep, t30358aep, t31144aep, t31344aep, t32280aep, t32388aep, t33020aep, t34385aep, t34424aep, t34475aep, t34609aep, t35146aep, t35271aep, t35488aep, t35608aep, t35837aep, t36169aep, t37004aep, t37043aep, t38432aep, t3924aep, t536aep, t5403aep, t6387aep, t7281aep, t7288aep, t7326aep, t8645aep, t8946aep, t9802aep, t9936aep
.....GO:0051259	BP	e	protein complex oligomerization	10/441	424/38747	0.0321	5	10	1	1	1	0.74	t14664aep, t17178aep, t21013aep, t22133aep, t29674aep, t30176aep, t33022aep, t36337aep, t38653aep, t8142aep
.......GO:0030512	BP	e	negative regulation of transforming growth factor beta receptor signaling pathway	3/441	61/38747	0.0324	8	3	1	1	1	0.74	t18338aep, t25020aep, t31144aep
....GO:0051094	BP	e	positive regulation of developmental process	17/441	865/38747	0.0324	4	17	1	1	1	0.74	t10028aep, t13546aep, t13547aep, t16778aep, t18683aep, t19259aep, t19405aep, t20542aep, t21682aep, t2368aep, t24938aep, t34385aep, t34609aep, t35146aep, t35488aep, t5403aep, t8582aep
.....GO:0032271	BP	e	regulation of protein polymerization	6/441	208/38747	0.0325	6	6	1	1	1	0.74	t13546aep, t13547aep, t19681aep, t20542aep, t7326aep, t8946aep
.....GO:0060142	BP	e	regulation of syncytium formation by plasma membrane fusion	2/441	25/38747	0.0326	5	2	1	1	1	0.74	t34385aep, t7326aep
.....GO:2000031	BP	e	regulation of salicylic acid mediated signaling pathway	2/441	25/38747	0.0326	6	2	1	1	1	0.74	t18960aep, t35837aep
.....GO:1903998	BP	e	regulation of eating behavior 	2/441	25/38747	0.0326	5	2	1	1	1	0.74	t11116aep, t9936aep
..GO:0019835	BP	e	cytolysis                     	2/441	25/38747	0.0326	2	2	1	1	1	0.74	t24687aep, t34424aep
.....GO:0002576	BP	e	platelet degranulation        	2/441	25/38747	0.0326	8	2	1	1	1	0.74	t21682aep, t31838aep
...GO:0051656	BP	e	establishment of organelle localization	10/441	427/38747	0.0329	4	10	1	1	1	0.74	t17803aep, t18683aep, t24938aep, t29103aep, t29764aep, t31838aep, t37405aep, t38653aep, t7326aep, t9936aep
....GO:0051963	BP	e	regulation of synapse assembly	4/441	106/38747	0.0332	6	4	1	1	1	0.74	t18683aep, t2368aep, t34385aep, t34609aep
.....GO:0032268	BP	e	regulation of cellular protein metabolic process	34/441	2082/38747	0.0334	6	34	1	1	1	0.74	t12198aep, t14055aep, t17178aep, t17722aep, t17750aep, t18342aep, t18960aep, t19259aep, t203aep, t20542aep, t20662aep, t21682aep, t22133aep, t2654aep, t29320aep, t2978aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t34385aep, t34609aep, t35488aep, t36169aep, t36337aep, t37043aep, t38672aep, t3924aep, t5403aep, t7326aep, t8490aep, t8582aep, t8946aep
..GO:0030534	BP	e	adult behavior                	5/441	156/38747	0.0335	2	5	1	1	1	0.74	t13546aep, t13547aep, t17803aep, t24938aep, t9936aep
......GO:0045076	BP	e	regulation of interleukin-2 biosynthetic process	1/441	3/38747	0.0338	7	1	1	1	1	0.74	       t8645aep
.....GO:0032673	BP	e	regulation of interleukin-4 production	1/441	3/38747	0.0338	5	1	1	1	1	0.74	       t8645aep
.....GO:0010657	BP	e	muscle cell apoptotic process 	1/441	3/38747	0.0338	5	1	1	1	1	0.74	      t20542aep
........GO:0031054	BP	e	pre-miRNA processing          	1/441	3/38747	0.0338	9	1	1	1	1	0.74	      t30770aep
.....GO:0007504	BP	e	larval fat body development   	1/441	3/38747	0.0338	7	1	1	1	1	0.74	      t38653aep
......GO:0010658	BP	e	striated muscle cell apoptotic process	1/441	3/38747	0.0338	6	1	1	1	1	0.74	      t20542aep
.......GO:0010659	BP	e	cardiac muscle cell apoptotic process	1/441	3/38747	0.0338	7	1	1	1	1	0.74	      t20542aep
........GO:0007465	BP	e	R7 cell fate commitment       	1/441	3/38747	0.0338	8	1	1	1	1	0.74	      t20542aep
........GO:0052033	BP	e	pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response	1/441	3/38747	0.0338	11	1	1	1	1	0.74	      t34475aep
......GO:0052305	BP	e	positive regulation by organism of innate immune response in other organism involved in symbiotic interaction	1/441	3/38747	0.0338	9	1	1	1	1	0.74	      t34475aep
......GO:1900378	BP	e	positive regulation of secondary metabolite biosynthetic process	1/441	3/38747	0.0338	6	1	1	1	1	0.74	      t35837aep
...GO:0055017	BP	e	cardiac muscle tissue growth  	1/441	3/38747	0.0338	3	1	1	1	1	0.74	      t17803aep
.......GO:2000553	BP	e	positive regulation of T-helper 2 cell cytokine production	1/441	3/38747	0.0338	10	1	1	1	1	0.74	       t6387aep
.......GO:1905616	BP	e	regulation of miRNA mediated inhibition of translation	1/441	3/38747	0.0338	9	1	1	1	1	0.74	      t35488aep
...GO:0071585	BP	e	detoxification of cadmium ion 	1/441	3/38747	0.0338	3	1	1	1	1	0.74	       t6933aep
.....GO:1900245	BP	e	positive regulation of MDA-5 signaling pathway	1/441	3/38747	0.0338	9	1	1	1	1	0.74	      t35608aep
.......GO:0042487	BP	e	regulation of odontogenesis of dentin-containing tooth	1/441	3/38747	0.0338	7	1	1	1	1	0.74	       t8582aep
...GO:0001562	BP	e	response to protozoan         	1/441	3/38747	0.0338	5	1	1	1	1	0.74	       t8645aep
......GO:2000628	BP	e	regulation of miRNA metabolic process	1/441	3/38747	0.0338	7	1	1	1	1	0.74	       t8582aep
.....GO:1900367	BP	e	positive regulation of defense response to insect	1/441	3/38747	0.0338	7	1	1	1	1	0.74	      t35837aep
.........GO:0010735	BP	e	positive regulation of transcription via serum response element binding	1/441	3/38747	0.0338	12	1	1	1	1	0.74	      t37004aep
......GO:0021879	BP	e	forebrain neuron differentiation	1/441	3/38747	0.0338	6	1	1	1	1	0.74	       t8582aep
......GO:0061308	BP	e	cardiac neural crest cell development involved in heart development	1/441	3/38747	0.0338	6	1	1	1	1	0.74	       t8582aep
...GO:0007284	BP	e	spermatogonial cell division  	1/441	3/38747	0.0338	3	1	1	1	1	0.74	       t8582aep
.....GO:0031643	BP	e	positive regulation of myelination	1/441	3/38747	0.0338	7	1	1	1	1	0.74	       t8582aep
......GO:0032753	BP	e	positive regulation of interleukin-4 production	1/441	3/38747	0.0338	6	1	1	1	1	0.74	       t8645aep
.......GO:0052257	BP	e	pathogen-associated molecular pattern dependent induction by organism of innate immune response of other organism involved in symbiotic interaction	1/441	3/38747	0.0338	10	1	1	1	1	0.74	      t34475aep
.....GO:0003313	BP	e	heart rudiment development    	1/441	3/38747	0.0338	5	1	1	1	1	0.74	      t16424aep
...GO:0098849	BP	e	cellular detoxification of cadmium ion	1/441	3/38747	0.0338	4	1	1	1	1	0.74	       t6933aep
....GO:0061684	BP	e	chaperone-mediated autophagy  	1/441	3/38747	0.0338	6	1	1	1	1	0.74	      t20542aep
....GO:0048086	BP	e	negative regulation of developmental pigmentation	1/441	3/38747	0.0338	4	1	1	1	1	0.74	      t14055aep
........GO:0045945	BP	e	positive regulation of transcription by RNA polymerase III	1/441	3/38747	0.0338	11	1	1	1	1	0.74	       t2978aep
...GO:0002522	BP	e	leukocyte migration involved in immune response	1/441	3/38747	0.0338	6	1	1	1	1	0.74	      t17956aep
....GO:0061355	BP	e	Wnt protein secretion         	1/441	3/38747	0.0338	9	1	1	1	1	0.74	      t29103aep
....GO:1905802	BP	e	regulation of cellular response to manganese ion	1/441	3/38747	0.0338	4	1	1	1	1	0.74	      t19259aep
.......GO:0098659	BP	e	inorganic cation import across plasma membrane	1/441	3/38747	0.0338	8	1	1	1	1	0.74	       t2479aep
....GO:2000068	BP	e	regulation of defense response to insect	1/441	3/38747	0.0338	6	1	1	1	1	0.74	      t35837aep
.....GO:0071390	BP	e	cellular response to ecdysone 	1/441	3/38747	0.0338	7	1	1	1	1	0.74	      t14055aep
.......GO:0052166	BP	e	positive regulation by symbiont of host innate immune response	1/441	3/38747	0.0338	10	1	1	1	1	0.74	      t34475aep
........GO:0052169	BP	e	pathogen-associated molecular pattern dependent modulation by symbiont of host innate immune response	1/441	3/38747	0.0338	10	1	1	1	1	0.74	      t34475aep
....GO:0046331	BP	e	lateral inhibition            	1/441	3/38747	0.0338	5	1	1	1	1	0.74	      t16424aep
......GO:0006418	BP	e	tRNA aminoacylation for protein translation	6/441	210/38747	0.0338	10	6	1	1	1	0.74	t14055aep, t25651aep, t26438aep, t32532aep, t33020aep, t7281aep
....GO:0006720	BP	e	isoprenoid metabolic process  	4/441	107/38747	0.0342	5	4	1	1	1	0.748	t16922aep, t20009aep, t23663aep, t33020aep
......GO:0043408	BP	e	regulation of MAPK cascade    	10/441	432/38747	0.0343	9	10	1	1	1	0.748	t17178aep, t18960aep, t20662aep, t21682aep, t22133aep, t29320aep, t32280aep, t32984aep, t3924aep, t8946aep
.......GO:0045664	BP	e	regulation of neuron differentiation	8/441	327/38747	0.0347	7	8	1	1	1	0.754	t13546aep, t13547aep, t24687aep, t32984aep, t34424aep, t37004aep, t7326aep, t9936aep
..GO:0048870	BP	e	cell motility                 	17/441	882/38747	0.0348	3	17	1	1	1	0.754	t10028aep, t14055aep, t16424aep, t16922aep, t17956aep, t18960aep, t20009aep, t20542aep, t21682aep, t2368aep, t24687aep, t32984aep, t33020aep, t34424aep, t7326aep, t8222aep, t8946aep
.....GO:0120032	BP	e	regulation of plasma membrane bounded cell projection assembly	5/441	158/38747	0.0351	7	5	1	1	1	0.754	t13546aep, t13547aep, t18960aep, t20542aep, t7326aep
....GO:0043903	BP	e	regulation of symbiosis, encompassing mutualism through parasitism	5/441	158/38747	0.0351	4	5	1	1	1	0.754	t24687aep, t28521aep, t34424aep, t6387aep, t8582aep
.....GO:0019720	BP	e	Mo-molybdopterin cofactor metabolic process	2/441	26/38747	0.0351	6	2	1	1	1	0.754	t16922aep, t20009aep
...GO:0030952	BP	e	establishment or maintenance of cytoskeleton polarity	2/441	26/38747	0.0351	5	2	1	1	1	0.754	t30358aep, t7326aep
